Time: 114.105679989 seconds, RAM: 49.18359375 Mb.
Time: 106.802379131 seconds, RAM: 48.23046875 Mb.
Time: 110.062762022 seconds, RAM: 49.29296875 Mb.
Time: 107.005613089 seconds, RAM: 48.01171875 Mb.
Time: 111.986690044 seconds, RAM: 49.37890625 Mb.
Time: 105.884119034 seconds, RAM: 49.4453125 Mb.
Time: 104.875955105 seconds, RAM: 50.05859375 Mb.
Time: 102.048570156 seconds, RAM: 48.92578125 Mb.
Time: 109.409903049 seconds, RAM: 49.76171875 Mb.
Time: 107.445150852 seconds, RAM: 48.4140625 Mb.
Time: 105.313190937 seconds, RAM: 49.19921875 Mb.
Time: 108.135088921 seconds, RAM: 48.01953125 Mb.
Time: 104.197023869 seconds, RAM: 49.55078125 Mb.
Time: 106.254699945 seconds, RAM: 48.23828125 Mb.
Time: 110.019170046 seconds, RAM: 48.203125 Mb.
Time: 117.959819794 seconds, RAM: 49.77734375 Mb.
Time: 118.40696907 seconds, RAM: 49.0234375 Mb.
Time: 118.369085073 seconds, RAM: 49.62109375 Mb.
Time: 127.590373993 seconds, RAM: 49.609375 Mb.
Time: 133.385254145 seconds, RAM: 49.5625 Mb.
