Time: 59.0803699493 seconds, RAM: 37.7109375 Mb.
Time: 61.0518290997 seconds, RAM: 37.73828125 Mb.
Time: 57.5102338791 seconds, RAM: 37.44921875 Mb.
Time: 62.9917449951 seconds, RAM: 37.6015625 Mb.
Time: 59.5597808361 seconds, RAM: 37.52734375 Mb.
Time: 61.1441509724 seconds, RAM: 37.5390625 Mb.
Time: 58.3975009918 seconds, RAM: 37.58203125 Mb.
Time: 57.5060329437 seconds, RAM: 37.75390625 Mb.
Time: 65.5920100212 seconds, RAM: 37.55078125 Mb.
Time: 69.2905437946 seconds, RAM: 37.85546875 Mb.
Time: 68.4217200279 seconds, RAM: 37.88671875 Mb.
Time: 71.2108740807 seconds, RAM: 37.39453125 Mb.
Time: 71.1712968349 seconds, RAM: 37.6953125 Mb.
Time: 69.1699171066 seconds, RAM: 37.51953125 Mb.
